pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,SmolVLM2-2.2B-Instruct,feverous,html,markdown,0.8611,0.7134,0.8892,0.8671,0.7393,0.7095,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,html,latex,0.7125,0.6013,0.7657,0.6877,0.6419,0.5822,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,html,latex,0.8601,0.7446,0.855,0.887,0.7397,0.7641,148
VLM,SmolVLM2-2.2B-Instruct,sqa,html,latex,0.9062,0.7973,0.938,0.8859,0.8243,0.7798,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,html,latex,0.8393,0.726,0.8644,0.8247,0.7476,0.7128,124
VLM,SmolVLM2-2.2B-Instruct,feverous,html,latex,0.733,0.5712,0.7286,0.7858,0.5691,0.6059,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,markdown,html,0.6375,0.524,0.6728,0.6333,0.5406,0.5217,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,markdown,html,0.6574,0.58,0.6648,0.685,0.5882,0.5825,148
VLM,SmolVLM2-2.2B-Instruct,sqa,markdown,html,0.6573,0.59,0.6563,0.6668,0.5909,0.5918,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,markdown,html,0.7498,0.6782,0.7524,0.7513,0.6799,0.6799,124
VLM,SmolVLM2-2.2B-Instruct,feverous,markdown,html,0.5859,0.4868,0.608,0.5928,0.4901,0.4902,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,markdown,markdown,0.7402,0.5984,0.7717,0.7796,0.6025,0.6108,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,markdown,markdown,0.8592,0.7478,0.9157,0.8945,0.8017,0.7486,148
VLM,SmolVLM2-2.2B-Instruct,sqa,markdown,markdown,0.8184,0.7558,0.8357,0.8467,0.7631,0.7629,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,markdown,markdown,0.7105,0.647,0.8621,0.7037,0.7644,0.6413,124
VLM,SmolVLM2-2.2B-Instruct,feverous,markdown,markdown,0.8479,0.7148,0.9173,0.847,0.7576,0.7042,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,markdown,latex,0.7085,0.605,0.767,0.6808,0.6468,0.5836,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,markdown,latex,0.7994,0.6836,0.7827,0.8405,0.6712,0.7152,148
VLM,SmolVLM2-2.2B-Instruct,sqa,markdown,latex,0.881,0.7727,0.9243,0.8573,0.8075,0.7502,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,markdown,latex,0.7956,0.7252,0.8153,0.7843,0.7428,0.7152,124
VLM,SmolVLM2-2.2B-Instruct,feverous,markdown,latex,0.7775,0.626,0.7912,0.8137,0.6379,0.653,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,latex,html,0.7235,0.5649,0.7583,0.7613,0.5703,0.5768,179
VLM,SmolVLM2-2.2B-Instruct,hybridqa,latex,html,0.8019,0.6636,0.7985,0.8731,0.6626,0.6818,148
VLM,SmolVLM2-2.2B-Instruct,sqa,latex,html,0.8726,0.7533,0.8838,0.886,0.7591,0.7603,102
VLM,SmolVLM2-2.2B-Instruct,tabfact,latex,html,0.8311,0.7323,0.8324,0.8411,0.7342,0.7373,124
VLM,SmolVLM2-2.2B-Instruct,feverous,latex,html,0.7439,0.5859,0.7697,0.7675,0.5979,0.587,76
VLM,SmolVLM2-2.2B-Instruct,wikitq,latex,markdown,0.8127,0.6155,0.8235,0.8682,0.6185,0.6342,126
VLM,SmolVLM2-2.2B-Instruct,hybridqa,latex,markdown,0.8374,0.6875,0.8644,0.9226,0.7041,0.6871,88
VLM,SmolVLM2-2.2B-Instruct,sqa,latex,markdown,0.9059,0.7748,0.9157,0.9182,0.7747,0.777,72
VLM,SmolVLM2-2.2B-Instruct,tabfact,latex,markdown,0.8778,0.7482,0.9267,0.9023,0.7716,0.7585,69
